DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2025-11-09 02:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	32.10	2025-09-10 12:45:56.056
2025-11-09 06:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	37.21	2025-09-10 12:45:56.056
2025-11-09 10:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	55.90	2025-09-10 12:45:56.056
2025-11-09 14:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	59.08	2025-09-10 12:45:56.056
2025-11-09 18:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	61.98	2025-09-10 12:45:56.056
2025-11-09 22:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	40.18	2025-09-10 12:45:56.056
2025-11-09 01:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	32.95	2025-09-10 12:45:56.056
2025-11-09 05:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	31.22	2025-09-10 12:45:56.056
2025-11-09 09:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	53.14	2025-09-10 12:45:56.056
2025-11-09 13:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	57.69	2025-09-10 12:45:56.056
2025-11-09 17:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	60.83	2025-09-10 12:45:56.056
2025-11-09 21:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	51.20	2025-09-10 12:45:56.056
2025-11-09 02:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	32.10	2025-09-10 12:45:56.056
2025-11-09 06:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	37.21	2025-09-10 12:45:56.056
2025-11-09 10:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	55.90	2025-09-10 12:45:56.056
2025-11-09 14:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	59.08	2025-09-10 12:45:56.056
2025-11-09 18:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	61.98	2025-09-10 12:45:56.056
2025-11-09 22:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	40.18	2025-09-10 12:45:56.056
2025-11-09 00:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	33.80	2025-09-10 12:45:56.056
2025-11-09 04:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	30.27	2025-09-10 12:45:56.056
2025-11-09 08:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	50.60	2025-09-10 12:45:56.056
2025-11-09 12:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	56.89	2025-09-10 12:45:56.056
2025-11-09 16:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	59.32	2025-09-10 12:45:56.056
2025-11-09 20:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	59.50	2025-09-10 12:45:56.056
2025-11-08 23:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	35.60	2025-09-10 12:45:56.056
2025-11-09 03:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	31.21	2025-09-10 12:45:56.056
2025-11-09 07:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	45.82	2025-09-10 12:45:56.056
2025-11-09 11:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	55.52	2025-09-10 12:45:56.056
2025-11-09 15:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	59.43	2025-09-10 12:45:56.056
2025-11-09 19:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	61.44	2025-09-10 12:45:56.056
2025-11-09 00:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	33.80	2025-09-10 12:45:56.056
2025-11-09 04:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	30.27	2025-09-10 12:45:56.056
2025-11-09 08:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	50.60	2025-09-10 12:45:56.056
2025-11-09 12:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	56.89	2025-09-10 12:45:56.056
2025-11-09 16:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	59.32	2025-09-10 12:45:56.056
2025-11-09 20:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	59.50	2025-09-10 12:45:56.056
2025-11-08 23:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	35.60	2025-09-10 12:45:56.056
2025-11-09 03:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	31.21	2025-09-10 12:45:56.056
2025-11-09 07:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	45.82	2025-09-10 12:45:56.056
2025-11-09 11:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	55.52	2025-09-10 12:45:56.056
2025-11-09 15:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	59.43	2025-09-10 12:45:56.056
2025-11-09 19:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	61.44	2025-09-10 12:45:56.056
2025-11-08 23:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	35.60	2025-09-10 12:45:56.056
2025-11-09 02:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	32.10	2025-09-10 12:45:56.056
2025-11-09 06:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	37.21	2025-09-10 12:45:56.056
2025-11-09 10:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	55.90	2025-09-10 12:45:56.056
2025-11-09 14:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	59.08	2025-09-10 12:45:56.056
2025-11-09 18:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	61.98	2025-09-10 12:45:56.056
2025-11-09 22:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	40.18	2025-09-10 12:45:56.056
2025-11-09 03:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	31.21	2025-09-10 12:45:56.056
2025-11-09 07:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	45.82	2025-09-10 12:45:56.056
