DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2014-12-03 00:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9543.03	2017-09-14 04:18:49.049
2014-12-03 01:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9279.11	2017-09-14 04:18:49.049
2014-12-03 02:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9125.01	2017-09-14 04:18:49.049
2014-12-03 03:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9277.28	2017-09-14 04:18:49.049
2014-12-03 04:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9766.28	2017-09-14 04:18:49.049
2014-12-03 05:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11052.50	2017-09-14 04:18:49.049
2014-12-03 06:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12168.71	2017-09-14 04:18:49.049
2014-12-03 07:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12267.89	2017-09-14 04:18:49.049
2014-12-03 08:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12411.59	2017-09-14 04:18:49.049
2014-12-03 09:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12489.82	2017-09-14 04:18:49.049
2014-12-03 10:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12640.12	2017-09-14 04:18:49.049
2014-12-03 11:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12423.18	2017-09-14 04:18:49.049
2014-12-03 12:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12482.81	2017-09-14 04:18:49.049
2014-12-03 13:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12361.58	2017-09-14 04:18:49.049
2014-12-03 14:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12352.00	2017-09-14 04:18:49.049
2014-12-03 15:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12362.19	2017-09-14 04:18:49.049
2014-12-03 16:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	13058.92	2017-09-14 04:18:49.049
2014-12-03 17:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12874.25	2017-09-14 04:18:49.049
2014-12-03 18:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12284.62	2017-09-14 04:18:49.049
2014-12-03 19:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11673.59	2017-09-14 04:18:49.049
2014-12-03 20:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11147.21	2017-09-14 04:18:49.049
2014-12-03 21:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11281.63	2017-09-14 04:18:49.049
2014-12-03 22:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	10869.41	2017-09-14 04:18:49.049
2014-12-02 23:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	10284.37	2017-09-14 04:18:49.049
2014-12-03 00:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9814.38	2017-09-14 04:18:49.049
2014-12-03 01:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9439.94	2017-09-14 04:18:49.049
2014-12-03 02:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9184.70	2017-09-14 04:18:49.049
2014-12-03 03:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9204.27	2017-09-14 04:18:49.049
2014-12-03 04:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9483.33	2017-09-14 04:18:49.049
2014-12-03 05:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	10356.82	2017-09-14 04:18:49.049
2014-12-03 06:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11647.94	2017-09-14 04:18:49.049
2014-12-03 07:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12307.61	2017-09-14 04:18:49.049
2014-12-03 08:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12355.21	2017-09-14 04:18:49.049
2014-12-03 09:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12478.29	2017-09-14 04:18:49.049
2014-12-03 10:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12550.33	2017-09-14 04:18:49.049
2014-12-03 11:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12524.37	2017-09-14 04:18:49.049
2014-12-03 12:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12452.93	2017-09-14 04:18:49.049
2014-12-03 13:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12389.86	2017-09-14 04:18:49.049
2014-12-03 14:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12386.68	2017-09-14 04:18:49.049
2014-12-03 15:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12248.92	2017-09-14 04:18:49.049
2014-12-03 16:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12743.53	2017-09-14 04:18:49.049
2014-12-03 17:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	13078.23	2017-09-14 04:18:49.049
2014-12-03 18:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12585.70	2017-09-14 04:18:49.049
2014-12-03 19:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12041.92	2017-09-14 04:18:49.049
2014-12-03 20:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11403.65	2017-09-14 04:18:49.049
2014-12-03 21:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11083.13	2017-09-14 04:18:49.049
2014-12-03 22:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11245.98	2017-09-14 04:18:49.049
2014-12-03 23:00:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	10816.45	2017-09-14 04:18:49.049
2014-12-02 23:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	10284.37	2017-09-14 04:18:49.049
2014-12-02 23:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	10284.37	2017-09-14 04:18:49.049
2014-12-03 00:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9814.38	2017-09-14 04:18:49.049
2014-12-03 01:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9439.94	2017-09-14 04:18:49.049
2014-12-03 02:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9184.70	2017-09-14 04:18:49.049
2014-12-03 03:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9204.27	2017-09-14 04:18:49.049
2014-12-03 04:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9483.33	2017-09-14 04:18:49.049
2014-12-03 05:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	10356.82	2017-09-14 04:18:49.049
2014-12-03 06:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	11647.94	2017-09-14 04:18:49.049
2014-12-03 07:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12307.61	2017-09-14 04:18:49.049
2014-12-03 08:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12355.21	2017-09-14 04:18:49.049
2014-12-03 09:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12478.29	2017-09-14 04:18:49.049
2014-12-03 10:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12550.33	2017-09-14 04:18:49.049
2014-12-03 11:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12524.37	2017-09-14 04:18:49.049
2014-12-03 12:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12452.93	2017-09-14 04:18:49.049
2014-12-03 13:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12389.86	2017-09-14 04:18:49.049
2014-12-03 14:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12386.68	2017-09-14 04:18:49.049
2014-12-03 15:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12248.92	2017-09-14 04:18:49.049
2014-12-03 16:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12743.53	2017-09-14 04:18:49.049
2014-12-03 17:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	13078.23	2017-09-14 04:18:49.049
2014-12-03 18:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12585.70	2017-09-14 04:18:49.049
2014-12-03 19:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12041.92	2017-09-14 04:18:49.049
2014-12-03 20:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	11403.65	2017-09-14 04:18:49.049
2014-12-03 21:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	11083.13	2017-09-14 04:18:49.049
2014-12-03 22:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	11245.98	2017-09-14 04:18:49.049
2014-12-03 23:00:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	10816.45	2017-09-14 04:18:49.049
2014-12-03 00:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9814.38	2017-09-14 04:18:49.049
2014-12-03 01:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9439.94	2017-09-14 04:18:49.049
